verb	tr	pass	trpt	passpt	apass	apasspt	inpt	in	sfin	sfinpt	quote	quotept	npcomp	passcomp	npcomppt	passcomppt	inf	other	x	i	TOTAL
accept	98	41	0	0	22	0	0	7	1	0	0	0	0	1	0	0	0	0	30	0	200
add	34	37	0	0	0	0	2	8	3	0	19	0	0	1	0	0	0	1	10	0	115
adjust	55	37	0	0	28	0	0	22	0	0	0	0	0	0	0	0	0	0	58	0	200
admit	43	44	0	0	7	0	0	10	47	0	34	0	0	8	0	0	0	3	4	0	200
advance	20	10	0	0	34	0	0	47	0	0	0	0	0	0	0	0	0	0	89	0	200
advise	64	6	0	0	9	0	0	11	6	0	12	0	54	14	0	0	1	2	2	0	181
advocate	63	10	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	87
agree	2	1	0	0	2	0	0	67	43	0	27	0	0	4	0	0	49	0	5	0	200
allow	27	18	0	0	6	0	0	5	0	0	0	0	80	64	0	0	0	0	0	0	200
amuse	30	2	0	0	42	0	0	0	0	0	0	0	0	0	0	0	2	1	11	0	88
announce	67	22	0	0	2	0	0	2	55	0	46	0	1	3	0	0	0	0	2	0	200
annoy	26	10	0	0	54	0	0	0	0	0	0	0	2	1	0	0	0	0	5	0	98
answer	24	13	0	0	0	0	0	17	3	0	50	0	1	0	0	0	0	0	4	0	112
anticipate	58	31	0	0	2	0	0	1	12	0	0	0	0	2	0	0	0	18	40	0	164
appoint	37	57	0	0	0	0	0	0	0	0	0	0	7	7	0	0	1	0	17	0	126
approve	35	37	0	0	13	0	0	19	0	0	1	0	0	0	0	0	0	0	19	0	124
argue	6	1	1	3	0	0	0	45	116	0	10	0	1	9	0	0	0	3	5	0	200
arrest	27	89	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	120
ask	12	0	6	0	0	0	0	2	0	0	58	0	20	5	0	0	0	1	5	0	109
assert	54	5	0	0	1	0	0	0	60	0	12	0	0	4	0	0	0	12	1	0	149
assign	31	45	0	0	22	0	0	0	0	0	0	0	1	5	0	0	0	1	8	0	113
assume	61	6	0	0	1	0	0	0	62	0	0	0	5	27	0	0	0	1	7	0	170
attack	103	35	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	149
attempt	9	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	95	1	1	0	110
bake	58	33	0	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	63	0	170
beg	13	0	0	0	0	0	1	25	3	0	20	0	32	0	0	0	10	0	2	4	110
believe	4	2	0	0	0	0	0	9	78	0	0	0	0	8	0	0	0	6	0	0	107
bet	2	0	0	0	0	0	0	22	11	0	0	0	2	0	0	0	0	0	3	0	40
block	57	18	2	3	24	2	0	5	0	0	0	0	0	0	0	0	0	0	9	0	120
boil	18	13	0	1	6	0	10	46	0	0	0	0	0	0	0	0	0	0	106	0	200
bounce	15	1	2	1	0	0	27	62	0	0	0	0	0	0	0	0	0	0	7	0	115
break	24	17	13	4	24	0	29	26	0	0	0	1	0	0	0	0	0	0	4	3	145
burst	3	0	0	0	0	0	14	81	0	0	0	3	0	0	0	0	0	0	9	0	110
buy	94	6	1	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	7	0	114
call	18	69	0	3	0	0	1	4	0	0	5	2	0	1	0	0	0	0	2	0	105
carve	41	21	10	1	27	0	0	7	0	0	0	0	0	0	0	0	0	0	38	0	145
charge	20	51	0	0	26	0	1	25	10	0	1	0	0	1	0	0	0	1	64	0	200
chase	35	4	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	47
cheat	11	20	1	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	48
check	49	38	12	3	2	0	2	18	0	0	0	0	0	0	0	0	0	0	22	0	146
